Pressure (hPa),theta (K),Temp (K),qv (g/kg),RH (%),qliq (g/kg),qice (g/kg),qsnow (g/kg),qrain (g/kg),qgraupel (g/kg)
127.39545156679038,341.41469009959752,187.25731665231746,0.000895862,51.822191805007144,6.1517584843746095e-10,0.001509416,0.001387705,6.5577571136660139e-16,0.00108846
121.27760637962351,343.63661263338247,185.79306139429076,0.000720544,51.645517268167808,3.5040729041389689e-10,0.000970301,0.00065524,1.8929935061713186e-15,0.000627352
115.03023349136959,346.02875671456991,184.23047221318126,0.000570021,51.638779218791584,4.970070451325166e-10,0.00056841,0.000288343,2.349985920492312e-16,0.000318314
108.59044680852848,348.93848951254535,182.69206288227898,0.000453498,51.753728231105441,1.3324732148484334e-10,0.000292567,0.000114739,1.193021106504397e-15,0.000133352
101.94699357453212,353.13462441105071,181.51829595059286,0.000390129,52.257159098112062,2.2179915465050937e-12,0.000114548,3.9634285241536439e-05,1.0208935572654585e-16,4.2120160577143477e-05
95.152541881617594,359.18775320092669,180.9450308357676,0.000384488,53.63577651406387,5.4621041307835983e-11,2.5564720469587708e-05,1.3106491691118684e-05,3.0473080318012248e-23,7.4615969248561827e-06
88.317494242907557,367.68853452137114,181.2249509227959,0.000439886,53.795657917304951,2.3303606481089139e-13,2.9224710763413323e-06,7.1101268218069705e-06,6.6943478402487997e-24,3.8031640818349169e-07
81.580655528879575,377.9700862267465,182.0032426815221,0.000594484,57.660248489876331,1.8596563076702433e-14,1.5200252659149609e-07,6.5232637157950536e-06,1.2420491974397334e-23,5.5697592021753317e-09
75.072058853350214,388.78531414038582,182.69094863105502,0.000805315,62.894723562868855,5.937343474062913e-13,2.9608449310815669e-09,6.0847713539970682e-06,1.184486438530506e-22,5.559983410352522e-10
68.894222787245965,399.9637026008412,183.25221587209589,0.001008612,64.84806380616962,1.7699148625770363e-13,1.0270883526924826e-11,4.1436272106558854e-06,4.5708865467862562e-23,1.0456645778324021e-11
63.116632052759378,411.18611510722678,183.58945640553998,0.00116767,64.391606268377572,1.4861275614633798e-12,1.5558687205670394e-14,2.2885429816500022e-06,1.5930031333153904e-22,2.9903568962506422e-34
57.773487080631895,422.32171856563144,183.69104597340169,0.001258122,62.180664350221718,1.6795834464937972e-12,2.2521497748383602e-53,1.4500569041540965e-06,1.5779356913493124e-22,2.3870882437533303e-52
52.866375839581288,433.5288402940933,183.66141312795904,0.001298612,58.741397671567981,2.5401320448018129e-32,7.6617763713980204e-58,1.8581415268871394e-05,4.1096650443679539e-42,2.1891975556664043e-72
