,Resolution,pert,pressure,T,tk,q,qcloud,qice,qsnow,qrain,qgraup,rh,Model,pert_group,neg
8096,250 m,T 0.5 @600,172.5393236193148,0.5786306414326531,0.3469079720209151,0.247337126304,5.660736937475633e-09,-0.09808038788341088,1.6539286422377,1.8359213655967327e-18,0.012999306595801348,0.0147480259002321,MONC,T 0.5 @600,False
8179,250 m,T 0.5 @730,172.5393236193148,0.6573004301720857,0.3940730803244321,0.2493602423469,4.75270172633832e-09,-0.1859567279682,1.0415708684222,-1.419082425846482e-18,-0.08701998075550266,-0.335667002423392,MONC,T 0.5 @730,False
8262,250 m,T 0.5 @850,172.5393236193148,0.938863200700041,0.5628791592396567,0.4007937694975,-2.35160178534561e-09,-0.06079679254437985,0.3736384011677,1.0075018237030848e-17,0.4997069417399,0.0259909684610377,MONC,T 0.5 @850,False
8345,250 m,q 0.0002 @500,172.5393236193148,1.0223033803905537,0.6129042727556282,0.4012538245809,9.313843662226173e-09,-0.2056950387035,4.269172087496201,-1.8552443553962858e-18,0.1733354057034,-0.4813227648251583,MONC,q 0.0002 @500,False
8428,250 m,q 0.0002 @850,172.5393236193148,0.8514102395139957,0.5104482521291231,0.33381586566500004,-3.9338631696303654e-10,-0.1516268353156,2.3845863740206,5.9479258306482e-18,0.1990718139251,-0.3835203425246476,MONC,q 0.0002 @850,False
5938,1 km,T 0.5 @412,172.5393236193148,0.7623960857778797,0.4615440082157817,0.5199670460943999,2.532920397701941e-50,-0.025528580518295006,1.2392379307310002,-8.137003721853901e-63,-0.15940440988079999,-0.3242961464348042,MONC,T 0.5 @412,False
6021,1 km,T 0.5 @500,172.5393236193148,0.8291878752442585,0.5019788304838073,0.6122291675727,5.115487371537511e-09,0.008214876405571066,1.5427499020105,8.860529003010439e-20,0.1452062354831,-0.2726490374809387,MONC,T 0.5 @500,False
6104,1 km,T 0.5 @600,172.5393236193148,0.6769827175415912,0.4098359406294491,0.5955422029288,1.2859721596352955e-14,0.07769269417301208,1.6075419728129,2.8440155200462985e-52,0.26927824540850004,0.2968814679066866,MONC,T 0.5 @600,False
6187,1 km,T 0.5 @730,172.5393236193148,0.7660095821478876,0.4637315687626539,0.49583393177530005,5.835850983879584e-34,-0.04409337344817138,1.4115616139759,9.517529253615425e-40,0.293208402898,-0.6164671093682301,MONC,T 0.5 @730,False
6270,1 km,T 0.5 @850,172.5393236193148,0.8936315886880379,0.540992160119174,0.6825002640525,1.6232221629294487e-44,-0.06042859402567195,1.317016594869,-8.134990392800118e-63,0.607541162057,-0.1887182772221933,MONC,T 0.5 @850,False
6768,1 km,q 0.0002 @412,172.5393236193148,1.1038572775710804,0.6682598742208369,0.6372659931008,4.0295786180983114e-32,-0.08141594737701575,0.1865409851634,1.3709690707411647e-60,-0.37571686145850003,-1.3150193611786776,MONC,q 0.0002 @412,False
6851,1 km,q 0.0002 @500,172.5393236193148,1.1237308026661594,0.680291030467373,0.783116350083,1.8338908774987967e-36,-0.03721225969118816,0.43134251721469996,2.862149356653911e-36,-0.07113347822461716,-0.6446741609336611,MONC,q 0.0002 @500,False
6934,1 km,q 0.0002 @600,172.5393236193148,1.0473621081563351,0.6340584828143107,0.7290175515387,7.63784892537174e-58,-0.04349877906643205,-0.09684308244091443,3.9126805901250725e-45,-0.1711195239474,-0.598046393182777,MONC,q 0.0002 @600,False
7017,1 km,q 0.0002 @730,172.5393236193148,0.9708811590364804,0.5877579777784092,0.7106088134924999,1.9213293670797401e-47,-0.04098235926927124,0.5149736253951,-1.6274007877530885e-62,0.08486896134948275,-0.3647295717408312,MONC,q 0.0002 @730,False
7100,1 km,q 0.0002 @850,172.5393236193148,0.9991052332757135,0.6048444405705311,0.6976031038437001,2.712139927923168e-42,-0.04592648863052464,1.4004977113733,-8.137003937517892e-63,0.32491016661899996,-0.5635385868745999,MONC,q 0.0002 @850,False
4178,4 km,T 0.5 @412,170.0,1.0455031394958496,0.6303228735923767,0.69492107629776,0.0,0.12473044544458389,0.21890634298324585,0.0,-0.09508568793535233,0.1575033105873124,WRF,T 0.5 @412,False
4269,4 km,T 0.5 @500,170.0,1.0115400552749634,0.6098248958587646,0.6676356196403503,0.0,0.1126532331109047,1.123305082321167,0.0,0.17558319866657257,0.1275926003253352,WRF,T 0.5 @500,False
4360,4 km,T 0.5 @600,170.0,1.0384585857391357,0.6260061860084534,0.6860973834991455,0.0,0.06453868746757507,0.07983758300542831,0.0,0.08340606838464737,0.12906139342535508,WRF,T 0.5 @600,False
4451,4 km,T 0.5 @730,170.0,0.9351298213005066,0.5637069344520569,0.6175140738487244,0.0,0.09988177567720413,0.031047984957695007,0.0,0.020873790606856346,0.13418885738402847,WRF,T 0.5 @730,False
4542,4 km,T 0.5 @850,170.0,0.701425313949585,0.42282402515411377,0.4526664912700653,0.0,0.04538439214229584,-0.7660993337631226,0.0,0.1362621933221817,0.05563351829495431,WRF,T 0.5 @850,False
5088,4 km,q 0.0002 @412,170.0,1.1419628858566284,0.6885560750961304,0.7620066404342651,0.0,0.10702909529209137,-1.0677449703216553,0.0,-0.21443559229373932,0.1676671095380696,WRF,q 0.0002 @412,False
5179,4 km,q 0.0002 @500,170.0,1.1391563415527344,0.6868221163749695,0.7606617212295532,0.0,0.13085706532001495,0.5083473920822144,0.0,0.01249597780406475,0.1750575298455263,WRF,q 0.0002 @500,False
5270,4 km,q 0.0002 @600,170.0,1.222980260848999,0.7372832894325256,0.8159692287445068,0.0,0.1571117341518402,0.8932929635047913,0.0,0.20443007349967957,0.1586914149357242,WRF,q 0.0002 @600,False
5361,4 km,q 0.0002 @730,170.0,1.123278021812439,0.67714923620224,0.750193178653717,0.0,0.04985014721751213,-0.8422049283981323,0.0,0.025589553639292717,0.1739584600610388,WRF,q 0.0002 @730,False
5452,4 km,q 0.0002 @850,170.0,1.0805103778839111,0.6513468623161316,0.7123945355415344,0.0,0.13110172748565674,0.5461311936378479,0.0,0.23614856600761414,0.11720142237753171,WRF,q 0.0002 @850,False
2358,100 m,T 0.5 @412,170.0,0.7966895699501038,0.480194091796875,0.2412085086107254,0.0,0.0760793685913086,-12.932249069213867,0.0,0.0016117143677547574,-0.1675053409304953,WRF,T 0.5 @412,False
2449,100 m,T 0.5 @500,170.0,,,,,,,,,,WRF,T 0.5 @500,False
2540,100 m,T 0.5 @600,170.0,,,,,,,,,,WRF,T 0.5 @600,False
2631,100 m,T 0.5 @730,170.0,,,,,,,,,,WRF,T 0.5 @730,False
2722,100 m,T 0.5 @850,170.0,0.5687659978866577,0.3428090512752533,0.16948369145393372,0.0,-0.013594123534858227,-2.8000152111053467,0.0,1.5663506984710693,-0.1412724339029262,WRF,T 0.5 @850,False
3268,100 m,q 0.0002 @412,170.0,1.1876999139785767,0.7158671021461487,0.37129876017570496,0.0,0.2641927897930145,10.377265930175781,0.0,0.2420996129512787,-0.17780401251581904,WRF,q 0.0002 @412,False
3359,100 m,q 0.0002 @500,170.0,,,,,,,,,,WRF,q 0.0002 @500,False
3450,100 m,q 0.0002 @600,170.0,,,,,,,,,,WRF,q 0.0002 @600,False
3541,100 m,q 0.0002 @730,170.0,,,,,,,,,,WRF,q 0.0002 @730,False
3632,100 m,q 0.0002 @850,170.0,0.7331638336181641,0.4419064521789551,0.22304806113243103,0.0,0.1869770735502243,1.430505633354187,0.0,-0.47652456164360046,-0.13308662373810848,WRF,q 0.0002 @850,False
538,1 km,T 0.5 @412,170.0,0.9620614647865295,0.5799528360366821,0.5586956143379211,0.0,0.18074557185173035,0.2597709596157074,0.0,0.09506349265575409,0.10985817099034176,WRF,T 0.5 @412,False
629,1 km,T 0.5 @500,170.0,0.8680679798126221,0.5232744216918945,0.5055456757545471,0.0,0.05097198486328125,-0.9230253100395203,0.0,-0.07239709794521332,0.13085995578477397,WRF,T 0.5 @500,False
720,1 km,T 0.5 @600,170.0,0.7750458717346191,0.46718063950538635,0.4499953091144562,0.0,0.018679145723581314,-1.0389189720153809,0.0,-0.033020976930856705,0.12145257492523935,WRF,T 0.5 @600,False
811,1 km,T 0.5 @730,170.0,0.7000345587730408,0.4219457805156708,0.4065016508102417,0.0,-0.03843914717435837,-1.9654620885849,0.0,-0.030557475984096527,0.12128161452020852,WRF,T 0.5 @730,False
902,1 km,T 0.5 @850,170.0,0.45280709862709045,0.2729564309120178,0.26110222935676575,0.0,-0.017456747591495514,-2.0449914932250977,0.0,-0.05779104307293892,0.08089744010526226,WRF,T 0.5 @850,False
1448,1 km,q 0.0002 @412,170.0,1.186137318611145,0.7150805592536926,0.6964765191078186,0.0,0.19049687683582306,0.7268804311752319,0.0,0.07315165549516678,0.1487735907388633,WRF,q 0.0002 @412,False
1539,1 km,q 0.0002 @500,170.0,1.1269463300704956,0.6793599724769592,0.6603325605392456,0.0,0.13040190935134888,0.15585961937904358,0.0,0.03458632901310921,0.14386798732064168,WRF,q 0.0002 @500,False
1630,1 km,q 0.0002 @600,170.0,1.1199105978012085,0.67503821849823,0.658619225025177,0.0,-0.0225179735571146,-0.9912332892417908,0.0,0.12033815681934357,0.1598627751837156,WRF,q 0.0002 @600,False
1721,1 km,q 0.0002 @730,170.0,0.8824212551116943,0.531903862953186,0.5103718638420105,0.0,0.0459701232612133,0.05962899699807167,0.0,0.16055156290531158,0.10300168128854018,WRF,q 0.0002 @730,False
1812,1 km,q 0.0002 @850,170.0,0.8298699855804443,0.5002166628837585,0.4805227816104889,0.0,0.0023760998155921698,-1.2323352098464966,0.0,-0.021042566746473312,0.11216907530066725,WRF,q 0.0002 @850,False
